attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_1B,umpire_2B,umpire_3B,umpire_HP,venue_name,weather,wind,delay
35055,3,sln,4/5/2015,184,201500001,0,chn,7:17 PM,Mark Wegner,Marty Foster,Mike Muchlinski,Mike Winters,Wrigley Field,"44 degrees, clear","7 mph, In from CF",0
45909,1,ana,4/6/2015,153,201500002,4,sea,1:12 PM,Ron Kulpa,Brian Knight,Vic Carapazza,Larry Vanover,Safeco Field,"54 degrees, cloudy","1 mph, Varies",0
36969,2,atl,4/6/2015,156,201500003,1,mia,4:22 PM,Laz Diaz,Chris Guccione,Cory Blaser,Jeff Nelson,Marlins Park,"80 degrees, partly cloudy","16 mph, In from CF",16
31042,6,bal,4/6/2015,181,201500004,2,tba,3:12 PM,Ed Hickox,Paul Nauert,Mike Estabrook,Dana DeMuth,Tropicana Field,"72 degrees, dome","0 mph, None",0
45549,8,bos,4/6/2015,181,201500005,0,phi,3:08 PM,Phil Cuzzi,Tony Randazzo,Will Little,Gerry Davis,Citizens Bank Park,"71 degrees, partly cloudy","11 mph, Out to RF",0
40085,1,cha,4/6/2015,170,201500006,10,kca,3:14 PM,Hunter Wendelstedt,Bob Davidson,David Rackley,Jerry Layne,Kauffman Stadium,"59 degrees, drizzle","6 mph, R to L",0
43753,0,cle,4/6/2015,150,201500007,2,hou,6:10 PM,Angel Hernandez,Scott Barry,Chris Conroy,Ted Barrett,Minute Maid Park,"79 degrees, partly cloudy","14 mph, Out to LF",0
46032,10,col,4/6/2015,180,201500008,0,mil,1:20 PM,Dan Iassogna,CB Bucknor,Lance Barrett,Dale Scott,Miller Park,"70 degrees, roof closed","0 mph, None",0
45030,0,min,4/6/2015,150,201500009,4,det,1:08 PM,Kerwin Danley,Lance Barksdale,D.J. Reyburn,Joe West,Comerica Park,"52 degrees, partly cloudy","5 mph, R to L",0
42295,3,nyn,4/6/2015,155,201500010,1,was,4:09 PM,Tim Timmons,Chris Segal,Todd Tichenor,Tim Welke,Nationals Park,"76 degrees, sunny","14 mph, Out to CF",0
43633,2,pit,4/6/2015,150,201500011,5,cin,4:10 PM,Sam Holbrook,Bill Welke,James Hoye,John Hirschbeck,Great American Ball Park,"68 degrees, overcast","15 mph, Out to LF",35
53518,3,sdn,4/6/2015,184,201500012,6,lan,1:12 PM,Mark Carlson,Mike DiMuro,Tripp Gibson III,Brian Gorman,Dodger Stadium,"65 degrees, partly cloudy","1 mph, Varies",0
49043,5,sfn,4/6/2015,198,201500013,4,ari,7:13 PM,Eric Cooper,Rob Drake,Quinn Wolcott,Gary Cederstrom,Chase Field,"81 degrees, clear","7 mph, L to R",0
36067,0,tex,4/6/2015,165,201500014,8,oak,7:09 PM,Doug Eddings,Jim Wolf,Adam Hamari,Bill Miller,O.co Coliseum,"56 degrees, cloudy","17 mph, Out to RF",0
48469,6,tor,4/6/2015,179,201500015,1,nya,1:13 PM,Jim Reynolds,Jerry Meals,Paul Schrieber,Fieldin Culbreth,Yankee Stadium,"54 degrees, partly cloudy","5 mph, R to L",0
26545,2,ana,4/7/2015,133,201500016,0,sea,7:10 PM,Brian Knight,Vic Carapazza,Larry Vanover,Ron Kulpa,Safeco Field,"56 degrees, partly cloudy","3 mph, Out to RF",0
17483,12,atl,4/7/2015,194,201500017,2,mia,7:11 PM,Chris Guccione,Cory Blaser,Jeff Nelson,Laz Diaz,Marlins Park,"75 degrees, roof closed","0 mph, None",0
13906,6,bal,4/7/2015,202,201500018,5,tba,7:10 PM,Paul Nauert,Mike Estabrook,Dana DeMuth,Ed Hickox,Tropicana Field,"72 degrees, dome","0 mph, None",0
30222,5,col,4/7/2015,168,201500019,2,mil,7:10 PM,CB Bucknor,Lance Barrett,Dale Scott,Dan Iassogna,Miller Park,"64 degrees, roof closed","0 mph, None",0
40356,7,sdn,4/7/2015,211,201500020,3,lan,7:40 PM,Mike DiMuro,Tripp Gibson III,Brian Gorman,Mark Carlson,Dodger Stadium,"57 degrees, rain","1 mph, Varies",30
22626,6,sfn,4/7/2015,190,201500021,7,ari,6:40 PM,Rob Drake,Quinn Wolcott,Gary Cederstrom,Eric Cooper,Chase Field,"79 degrees, partly cloudy","13 mph, Out to RF",0
15025,3,tex,4/7/2015,150,201500022,1,oak,7:08 PM,Jim Wolf,Adam Hamari,Bill Miller,Doug Eddings,O.co Coliseum,"54 degrees, partly cloudy","16 mph, Out to RF",0
25495,5,ana,4/8/2015,168,201500023,3,sea,7:10 PM,Vic Carapazza,Larry Vanover,Ron Kulpa,Brian Knight,Safeco Field,"60 degrees, partly cloudy","1 mph, In from LF",0
16127,2,atl,4/8/2015,165,201500024,0,mia,7:11 PM,Cory Blaser,Jeff Nelson,Laz Diaz,Chris Guccione,Marlins Park,"73 degrees, roof closed","0 mph, None",0
13569,0,bal,4/8/2015,180,201500025,2,tba,7:10 PM,Mike Estabrook,Dana DeMuth,Toby Basner,Paul Nauert,Tropicana Field,"72 degrees, dome","0 mph, None",0
26465,2,bos,4/8/2015,174,201500026,4,phi,7:08 PM,Tony Randazzo,Will Little,Gerry Davis,Phil Cuzzi,Citizens Bank Park,"40 degrees, cloudy","11 mph, R to L",0
23385,5,cha,4/8/2015,191,201500027,7,kca,7:10 PM,Bob Davidson,David Rackley,Jerry Layne,Hunter Wendelstedt,Kauffman Stadium,"74 degrees, cloudy","14 mph, R to L",0
23078,2,cle,4/8/2015,160,201500028,0,hou,7:10 PM,Scott Barry,Chris Conroy,Ted Barrett,Angel Hernandez,Minute Maid Park,"79 degrees, cloudy","11 mph, Out to LF",0
28720,5,col,4/8/2015,195,201500029,4,mil,7:10 PM,Lance Barrett,Dale Scott,Dan Iassogna,CB Bucknor,Miller Park,"64 degrees, roof closed","0 mph, None",0
28280,0,min,4/8/2015,186,201500030,11,det,1:08 PM,Lance Barksdale,D.J. Reyburn,Joe West,Kerwin Danley,Comerica Park,"39 degrees, cloudy","7 mph, In from LF",0
25999,1,nyn,4/8/2015,141,201500031,2,was,8:01 PM,Tim Timmons,Todd Tichenor,Tim Welke,Mike Everitt,Nationals Park,"46 degrees, cloudy","6 mph, Out to CF",56
30859,4,pit,4/8/2015,241,201500032,5,cin,9:44 PM,Bill Welke,James Hoye,John Hirschbeck,Sam Holbrook,Great American Ball Park,"64 degrees, cloudy","2 mph, L to R",154
52204,4,sdn,4/8/2015,196,201500033,7,lan,7:09 PM,Tripp Gibson III,Brian Gorman,Mark Carlson,Mike DiMuro,Dodger Stadium,"65 degrees, clear","10 mph, L to R",0
21642,5,sfn,4/8/2015,188,201500034,2,ari,6:40 PM,Quinn Wolcott,Gary Cederstrom,Eric Cooper,Rob Drake,Chase Field,"74 degrees, clear","7 mph, Out to RF",0
26814,0,sln,4/8/2015,143,201500035,2,chn,1:22 PM,Marty Foster,Mike Muchlinski,Mike Winters,Mark Wegner,Wrigley Field,"46 degrees, cloudy","6 mph, In from CF",0
19479,0,tex,4/8/2015,175,201500036,10,oak,7:07 PM,Adam Hamari,Bill Miller,Doug Eddings,Jim Wolf,O.co Coliseum,"58 degrees, partly cloudy","10 mph, Out to RF",0
31020,3,tor,4/8/2015,176,201500037,4,nya,7:10 PM,Jerry Meals,Paul Schrieber,Fieldin Culbreth,Jim Reynolds,Yankee Stadium,"44 degrees, cloudy","17 mph, L to R",0
23418,6,bos,4/9/2015,188,201500038,2,phi,7:06 PM,Will Little,Gerry Davis,Phil Cuzzi,Tony Randazzo,Citizens Bank Park,"42 degrees, overcast","10 mph, R to L",0
20236,1,cha,4/9/2015,157,201500039,4,kca,1:11 PM,David Rackley,Jerry Layne,Hunter Wendelstedt,Bob Davidson,Kauffman Stadium,"72 degrees, partly cloudy","18 mph, L to R",0
22593,5,cle,4/9/2015,188,201500040,1,hou,1:11 PM,Chris Conroy,Ted Barrett,Angel Hernandez,Scott Barry,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
26782,1,min,4/9/2015,163,201500041,7,det,4:44 PM,D.J. Reyburn,Joe West,Kerwin Danley,Lance Barksdale,Comerica Park,"59 degrees, drizzle","13 mph, R to L",216
25327,6,nyn,4/9/2015,174,201500042,3,was,1:07 PM,Todd Tichenor,Tim Welke,Mike Everitt,Tim Timmons,Nationals Park,"47 degrees, cloudy","8 mph, Out to RF",0
15616,2,pit,4/9/2015,152,201500043,3,cin,12:36 PM,James Hoye,John Hirschbeck,Sam Holbrook,Bill Welke,Great American Ball Park,"73 degrees, cloudy","13 mph, R to L",74
45149,1,sfn,4/9/2015,245,201500044,0,sdn,3:41 PM,Brian Gorman,Mark Carlson,Mike DiMuro,Tripp Gibson III,Petco Park,"67 degrees, sunny","12 mph, L to R",0
16045,10,tex,4/9/2015,152,201500045,1,oak,12:37 PM,Bill Miller,Doug Eddings,Jim Wolf,Adam Hamari,O.co Coliseum,"58 degrees, partly cloudy","7 mph, Out to RF",0
32152,6,tor,4/9/2015,172,201500046,3,nya,7:08 PM,Paul Schrieber,Fieldin Culbreth,Jim Reynolds,Jerry Meals,Yankee Stadium,"42 degrees, overcast","7 mph, L to R",0
41292,6,bos,4/10/2015,409,201500047,5,nya,7:08 PM,Mike Muchlinski,Mike Winters,Mark Wegner,Marty Foster,Yankee Stadium,"55 degrees, cloudy","11 mph, R to L",16
49303,1,chn,4/10/2015,181,201500048,5,col,2:10 PM,Gary Cederstrom,Eric Cooper,Rob Drake,Quinn Wolcott,Coors Field,"61 degrees, partly cloudy","7 mph, R to L",0
35789,8,det,4/10/2015,215,201500049,4,cle,4:10 PM,Dale Scott,Dan Iassogna,CB Bucknor,Lance Barrett,Progressive Field,"53 degrees, sunny","17 mph, L to R",0
48885,5,hou,4/10/2015,165,201500050,1,tex,3:08 PM,Jeff Nelson,Laz Diaz,Chris Guccione,Cory Blaser,Globe Life Park in Arlington,"65 degrees, partly cloudy","6 mph, In from LF",0
44489,4,kca,4/10/2015,196,201500051,2,ana,7:12 PM,Doug Eddings,Jim Wolf,Adam Hamari,Bill Miller,Angel Stadium of Anaheim,"67 degrees, partly cloudy","7 mph, Out to CF",0
27404,3,lan,4/10/2015,181,201500052,4,ari,6:40 PM,Ted Barrett,Angel Hernandez,Scott Barry,Chris Conroy,Chase Field,"82 degrees, clear","6 mph, In from CF",0
38533,6,min,4/10/2015,181,201500053,0,cha,3:10 PM,John Hirschbeck,Sam Holbrook,Bill Welke,James Hoye,U.S. Cellular Field,"66 degrees, sunny","21 mph, R to L",0
46279,3,nyn,4/10/2015,181,201500054,5,atl,8:51 PM,Fieldin Culbreth,Marvin Hudson,Jim Reynolds,Paul Schrieber,Turner Field,"65 degrees, cloudy","6 mph, L to R",69
27373,6,pit,4/10/2015,193,201500055,2,mil,7:11 PM,Dana DeMuth,Toby Basner,Paul Nauert,Mike Estabrook,Miller Park,"66 degrees, roof closed","0 mph, None",0
30114,0,sea,4/10/2015,164,201500056,12,oak,7:08 PM,Mark Carlson,Mike DiMuro,Tripp Gibson III,Brian Gorman,O.co Coliseum,"60 degrees, clear","3 mph, Out to RF",0
40015,0,sfn,4/10/2015,151,201500057,1,sdn,7:11 PM,Larry Vanover,Ron Kulpa,Brian Knight,Vic Carapazza,Petco Park,"64 degrees, cloudy","7 mph, Varies",0
30808,4,sln,4/10/2015,146,201500058,5,cin,7:12 PM,Joe West,Kerwin Danley,Lance Barksdale,D.J. Reyburn,Great American Ball Park,"64 degrees, clear","11 mph, R to L",0
17375,9,tba,4/10/2015,216,201500059,10,mia,7:10 PM,Gerry Davis,Phil Cuzzi,Tony Randazzo,Will Little,Marlins Park,"75 degrees, roof closed","0 mph, None",0
45936,12,tor,4/10/2015,165,201500060,5,bal,3:11 PM,Tim Welke,Mike Everitt,Tim Timmons,Todd Tichenor,Oriole Park at Camden Yards,"51 degrees, rain","2 mph, R to L",0
19047,1,was,4/10/2015,150,201500061,4,phi,7:07 PM,Jerry Layne,Hunter Wendelstedt,Bob Davidson,David Rackley,Citizens Bank Park,"57 degrees, cloudy","11 mph, Out to RF",0
